PASS  PackingBounds.sharpFullCohnElkiesManuscriptConclusions : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  MetricCodes.Johnson.binaryRate_lt_mrrw : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  MetricCodes.Spherical.HigherHierarchy.strict_hierarchy : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  PermanentFormulaLowerBound.permanent_rational_formula_logarithmic_lower_bound : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  SoficGroups.SourceTopLevelCompressionFinal.exists_finitelyPresented_nonsofic_group : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  ConnesRigidity.exists_infinite_pairwise_nonisomorphic_propertyT_icc_groups_with_isomorphic_factors : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  Ehrhart.Volume.ehrhart_volume_inequality_for_sets : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  QuantumParallelRepetition.distributionUniformExponential : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  GapCVP.Comparator.gapCVP400IsNPHard : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  ErdosProblems.MulticolourTriangleRamsey.erdos_problem_183_explicit : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  CompactnessConjecture.quantitativeCompactnessCounterexample : depends on axioms [propext, Classical.choice, Quot.sound]
PASS  TwoDegenerateGraphs.twoDegenerateExtremalCounterexample : depends on axioms [propext, Classical.choice, Quot.sound]
